,index,media_id,img_url,alt_text
69,103,3_1422617305125593094,https://pbs.twimg.com/media/E74m5tNVoAYYZsf.jpg,"An Olivetti typewriter in its case, cropped image with detail view. "
70,105,3_1421142725353635846,https://pbs.twimg.com/media/E7jpx3fVgAYN3e_.jpg,"Rendering of a museum exhibition hall with bright lights and people looking at displays. Large letters that spell ""futures"" hang from the ceiling, and there is a tile floor."
71,107,3_1411737082297454596,https://pbs.twimg.com/media/E5d_ZYqWEAQme6I.jpg,Archival image of the Star-Spangled banner in a glass case on view in the Smithsonian Arts and Industries Building.
72,108,3_1410297766589435916,https://pbs.twimg.com/media/E5JiWL0XEAwydBL.jpg,"Rendering of museum exhibition with large letters of the word ""futures"""
73,109,3_1410255830767841287,https://pbs.twimg.com/media/E5I8NMtXMAck63H.jpg,"Graphic with cityscape and night sky, text that says Aspen Ideas Festival"
74,110,3_1407795538917924864,https://pbs.twimg.com/media/E4l-lXWVIAAzalh.jpg,Cover of People magazine featuring a profile of Dwayne Johnson
75,111,3_1407795681834663940,https://pbs.twimg.com/media/E4l-trwVgAQDhe4.jpg,Magazine page featuring an image of the Smithsonian Arts and Industries Building
76,113,3_1405617653557850115,https://pbs.twimg.com/media/E4HBzwJVcAMm7Go.jpg,Composite image featuring five portraits of artists. 
77,114,3_1404533854296317954,https://pbs.twimg.com/media/E33oGVRXoAIrH0h.jpg,"View of a museum exhibit hall with multiple cases, the Star-Spangled Banner is visible in the background in a large glass case with a figure standing in front of it."
78,115,3_1402303844890128387,https://pbs.twimg.com/media/E3X76s3XMAMkDlO.jpg,"Rendering of a water world community, viewed from underneath the water with a scuba diver."
79,116,3_1402303446901010437,https://pbs.twimg.com/media/E3X7jiPXMAURswn.jpg,"Rendering of a modular city on the ocean, arranged in a circle."
80,117,3_1397965204525400070,https://pbs.twimg.com/media/E2aR8mAXwAY8clF.jpg,"A small electric robot with three wheels, visible gears, and a clear plastic shell."
81,118,3_1395736526609424390,https://pbs.twimg.com/media/E16m-dyXoAY6v8H.jpg,"An archival image of a man with a bicycle, outside of a brick building."
82,119,3_1394638554148507652,https://pbs.twimg.com/media/E1rAYDoWEAQPIlc.jpg,View of a central rotunda and arched hall entryways
83,120,3_1393188192770306052,https://pbs.twimg.com/media/E1WZR6dXsAQTHPb.jpg,"An ornate red brick building with a large blooming rose garden in front of it, sun shining with clear skies."
84,121,3_1392523799057338370,https://pbs.twimg.com/media/E1M9BHAXEAI8a3t.jpg,View of a colorful column sculpture in a rotunda of a museum with visitors. 
85,122,3_1391791186654990346,https://pbs.twimg.com/media/E1CitdIXEAoDpa2.jpg,A large sculpture with a colorful column in a rotunda surrounded by people.
86,123,3_1388145093014659073,https://pbs.twimg.com/media/E0Oum33XIAEPLek.jpg,"A sunlight gallery with a central pod suspended from the ceiling, an egg shape with a tree growing out of it. "
87,124,3_1383438465883262986,https://pbs.twimg.com/media/EzL19HeVUAoHRKc.jpg,"Scaffolding surrounds a brick building mid-construction. A center rotunda is partially constructed, and the US Capitol is visible in the left background."
88,128,3_1379909490988867587,https://pbs.twimg.com/media/EyZsXviU4AMKEa0.jpg,"Open doors leading in to a grand hall of a building, high ceilings and decorated tiles."
89,129,3_1378047750655332354,https://pbs.twimg.com/media/Ex_PIMVWUAI9brZ.jpg,"A row of rockets outside of a decorative brick building, circa 1970 and a row of cars parked on the street."
90,130,3_1369006604335656970,https://pbs.twimg.com/media/Ev-wQNqXMAovelf.jpg,A typewriter in a black case on a table.
91,131,3_1367531925552914432,https://pbs.twimg.com/media/EvpzCnGWYAA4Hcm.jpg,"Artist rendering of an exhibition in a large hall, with artworks and screens"
92,132,3_1367531430633496585,https://pbs.twimg.com/media/EvpylzYXYAkesGO.jpg,Artist rendering of a circle of hexagonal homes on the ocean's surface with surrounding boats
93,133,3_1366771292494565380,https://pbs.twimg.com/media/Eve_P8JXEAQH-jQ.jpg,"A pod from a hyperloop transit system, sitting on a trailer outside with a golden sunset in the background. Branding on pod says Virgin Hyperloop"
94,135,3_1363859895494279172,https://pbs.twimg.com/media/Eu1nWVJWgAQK8Jh.jpg,"View of the Arts and Industries Building in morning light, a highly decorated brick building with towers."
95,136,3_1363859496129490952,https://pbs.twimg.com/media/Eu1m_FZXcAgngXy.jpg,Archival image of a whale cast and skeleton in a large museum hall.
96,137,3_1363859191069368321,https://pbs.twimg.com/media/Eu1mtU9XYAEszUi.jpg,"View of the Arts and Industries Building in morning light, a highly decorated brick building with towers."
97,138,3_1557754567537967105,https://pbs.twimg.com/media/FZ5Bhp1XwAE5Sub.jpg,Black and white photo standing in middle of a dirt road lined with small homes holding a painting of Virgin Mary and infant. He wears a helmet. The painting's frame is covered in cardboard or wood as if to protect it. Handwritten text on frame: Monte Cassino MC12.
98,139,3_1557445097050062849,https://pbs.twimg.com/media/FZ0oEGbXwAEi8jg.jpg,"Black and white photo of men wearing suits, seated in a high ceiling hall with corinthian columns. They appear to all be white men. On left and right of hall, American flags visible."
99,140,3_1557448193360658437,https://pbs.twimg.com/media/FZ0q4VFWAAUHuIx.jpg,"Men and women seated in a high ceiling hall with corinthian columns. In front row: Julissa Marenco, Steve Case, Lonnie Bunch, Meroë Park, and Kevin Gover. "
100,141,3_1557350170202890241,https://pbs.twimg.com/media/FZzRuoXWYAEv6EK.jpg,"Black and white photograph of Smithsonian Castle, including street and a fence. The
Capitol is in the background. The dome
is not quite complete. Trees line the
mall. Cursive text: Washington DC. April 1865."
101,142,3_1555534587543126016,https://pbs.twimg.com/media/FZZedz5XgAALsqn.jpg,"Ten people (one man, nine women) posing on stage for a formal photo. Behind them, screen says 2022 Celebrate Smithsonian Education."
102,143,3_1554450877838229504,https://pbs.twimg.com/media/FZKE1mpXgAACsFa.jpg,"Illustrated portrait of James Baldwin wearing collared brown shirt. On right side of image, jagged black and white triangular shapes jut out."
103,144,3_1553813155658305536,https://pbs.twimg.com/media/FZBA1SZXkAAZUT3.jpg,"Orange-brown basketball. Handwritten in white on ball: Bill Russell 10,000 rebounds vs. Chicago. MSG Nov. 20, 1962."
104,145,3_1551591547463933957,https://pbs.twimg.com/media/FYhcSq8WIAUDSmw.jpg,"Lonnie Bunch in academic dress. Gown has red shoulders, white chest, white sleeves. Hood is also red. Hat is black. His arms are crossed at was it. Smiling."
105,146,3_1549377766650511363,https://pbs.twimg.com/media/FYB-3qwXgAM7LI-.jpg,"34-cent US postage stamp featuring illustration of Yankee Stadium, New York City, showing baseball diamond and packed stands."
106,147,3_1549377459065442305,https://pbs.twimg.com/media/FYB-lw6X0AEEhQq.jpg,"A postage stamp features the left profile of a blonde woman softball player with orange-white skin wearing blue and white gear squatting in the catching position with her mitt on her left hand extended in front of her towards the left of the frame. The background is light yellow. The top left corner reads: Centennial Olympic Games. The top right corner has the number 32 above a black line, then the letters USA, and the five Olympic rings, three on top and two on the bottom, interlocking slightly. The text is all black.  "
